City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,dingli,35.8614,14.3822,10.45,87,75,4.63,MT,1713988630
298,sagae,38.3725,140.2725,12.3,95,100,0.25,JP,1713988631
299,piti village,13.4626,144.6933,27.03,85,0,4.63,GU,1713988631
300,arno,60.1167,18.6333,2.1,89,100,3.59,SE,1713988631
301,bonthe,7.5264,-12.505,27.72,71,100,3.25,SL,1713988631
302,port macquarie,-31.4333,152.9167,18.27,85,100,5.93,AU,1713988631
303,dizangue,3.7667,9.9833,25.64,96,100,1.47,CM,1713988631
304,selfoss,63.9331,-20.9971,8.91,75,100,2.01,IS,1713988631
305,svitlovods'k,49.0489,33.2411,14.0,77,100,3.55,UA,1713988379
306,gulma,12.6423,4.3555,37.25,15,92,3.62,NG,1713988631
307,tsiombe,-25.3,45.4833,21.22,90,9,4.24,MG,1713988631
308,t'ongch'on-up,38.9539,127.8917,10.24,86,2,6.19,KP,1713988631
309,shakawe,-18.3667,21.85,21.49,22,0,1.84,BW,1713988631
310,yaguaron,-25.6,-57.3,25.97,84,80,0.47,PY,1713988631
311,buka,40.8108,69.1986,21.25,38,33,4.08,UZ,1713988631
312,colonia,50.9333,6.95,6.87,83,40,5.66,DE,1713988475
313,odda,60.0691,6.5457,6.54,92,99,1.89,NO,1713988631
314,sao vicente,-23.9631,-46.3919,34.1,47,0,2.06,BR,1713988466
315,bumba,2.1833,22.4667,25.67,78,100,1.19,CD,1713988631
316,hilo,19.7297,-155.09,26.82,81,100,2.57,US,1713988389
317,chibougamau,49.9168,-74.3659,-6.21,49,100,6.69,CA,1713988631
318,quellon,-43.1167,-73.6167,10.03,94,100,9.28,CL,1713988632
319,astrakhan,46.3497,48.0408,15.93,55,0,3.0,RU,1713988517
320,borogontsy,62.6683,131.1683,-7.22,92,100,4.62,RU,1713988354
321,wad medani,14.4012,33.5199,34.41,9,2,3.85,SD,1713988632
322,general villegas,-35.0328,-63.0125,14.59,57,50,3.98,AR,1713988339
323,crane,31.3974,-102.3501,31.66,32,100,8.21,US,1713988632
324,mitsamiouli,-11.3847,43.2844,28.4,76,54,2.83,KM,1713988632
325,kiruna,67.8557,20.2251,-2.49,74,100,2.06,SE,1713988437
326,santiago de cao,-7.9589,-79.2392,21.07,83,40,6.69,PE,1713988632
327,gaborone,-24.6545,25.9086,23.2,29,0,1.19,BW,1713988632
328,bam,29.106,58.357,16.45,65,44,1.35,IR,1713988632
329,belyy yar,53.6039,91.3903,-6.06,63,40,6.0,RU,1713988632
330,ljusdal,61.8288,16.0913,-1.07,95,66,0.96,SE,1713988632
331,el eulma,36.1528,5.6902,8.34,51,0,2.13,DZ,1713988632
332,puerto san jose,13.9256,-90.8244,33.03,58,0,5.14,GT,1713988632
333,murghob,38.1702,73.9667,-3.89,66,0,2.54,TJ,1713988632
334,itaituba,-4.2761,-55.9836,28.09,89,40,3.6,BR,1713988632
335,aykhal,66.0,111.5,-14.1,100,100,3.7,RU,1713988632
336,mount isa,-20.7333,139.5,21.87,43,75,5.66,AU,1713988343
337,salekhard,66.53,66.6019,-15.89,99,100,1.79,RU,1713988633
338,mount gambier,-37.8333,140.7667,10.13,89,19,2.45,AU,1713988633
